Joe Stuart	4869		63	65731
Chris Howe	4670	chris_howe_batt	85	65731
Will Martindale	4263	WillJMartindale	53	65731
Jonathan Tier	5328	jonathantier	63	66101
Stephen Kinnock	4252	SKinnock	53	66101
Helen Ceri Clarke	4561	helenceri	90	66101
Captain Beany	20	captainbeany	2	66101
Dafydd Meurig	4575	dafyddmeurig	77	66085
Mary Wimbury	4253	MaryWimbury	53	66085
Victor Babu	5027		90	66085
Nicole McKay	4724	NicoleMcKay1	2269	14398
Richard Baker	4254	votebaker2015	53	14398
Anne Begg	885	annebegg	53	14399
Ross Thomson	2865	RossThomsonTory	52	14399
Pamela Nash	2073	pamela_nash	53	14400
Gerald Howarth	3438	geraldhowarth	52	65730
Gary Puffett	4576	gary_puffett	53	65730
Alan Hilliar	1201	alanhilliar	90	65730
William (Bill) Walker	4577	billwalkeruk	85	65730
John Fisher	4255	JohnFisher_1	53	65773
Paul White	4578	paulwhiteb43	85	65773
Nick Robertson-Brown	5060		63	65892
James Wright	4579		53	65892
Graham Brady	1433		52	65892
Jane Brophy	1432	Cllr_JaneBrophy	90	65892
Mark Tami	688	MarkTamiMP	53	66103
Laura Knightly	4153	lauraknightly	52	66103
Blair Smillie	4580	blairsmillie	85	66103
Tudor Jones	5359	JTudorJones	90	66103
Phil Woods	5114	DeesideChooses	2	66103
Kevin Gillott	4256		53	65809
Kate Smith	4920		90	65809
Nigel Mills	1016	NigelMillsMP	52	65809
Stuart Bent	5386		85	65809
Derek Wann	4906	wannforangus	52	14401
Sanjay Samani	2289	ssamani	90	14401
Gerard McMahon	5059	gerardmcmahon86	53	14401
Alun Pugh	2284	Alun_Pugh	53	66108
Anwen Barry	5460		52	66108
Hywel Williams	2286	HywelWilliamsMP	77	66108
Alan Reid	3231		90	14402
Caroline Santos	4851	Casumptious	85	14402
Alastair Redman	4154		52	14402
Mary Galbraith	718	Mary_Galbraith	53	14402
Peter Grace	5238		85	65784
Isabel Thurston	5186		63	65784
Nick Herbert	3229	nickherbertmp	52	65784
Jason Zadrozny	3232	jzadrozny	90	65895
Simon Ashcroft	4693		85	65895
